	word	stress_pos	nr_syll
0	привет	1	2
1	поговорим	1	4
2	такое	2	3
3	естественный	3	4
4	язык	1	2
5	работают	3	4
6	самых	2	2
7	общих	2	2
8	чертах	1	2
9	формально	2	3
10	определить	1	4
11	множество	3	3
12	цепочек	2	3
13	символов	3	3
14	некоторого	5	5
15	алфавита	2	4
16	которые	3	4
17	некоторым	4	4
18	правилам	2	3
19	отдельно	2	3
20	взятая	3	3
21	цепочка	2	3
22	построенная	4	5
23	этим	2	2
24	это	2	2
25	алфавит	1	3
26	построения	3	5
27	текстов	2	2
28	идее	2	3
29	каждая	3	3
30	должна	2	2
31	нести	1	2
32	информацию	3	5
33	практике	3	3
34	самое	3	3
35	интересное	3	5
36	этом	2	2
37	правила	3	3
38	хотим	1	2
39	работать	2	3
40	текстами	3	3
41	естественном	3	4
42	языке	1	3
43	общий	2	2
44	алгоритм	1	3
45	сводится	3	3
46	глобальным	2	3
47	шагам	1	2
48	понятно	2	3
49	нужно	2	2
50	выучить	3	3
51	понять	1	2
52	самим	1	2
53	запрограммировать	3	6
54	обучить	1	3
55	классификатор	2	5
56	наши	2	2
57	этому	3	3
58	тексту	2	2
59	именно	1	3
60	было	2	2
61	построено	3	4
62	каждое	3	3
63	конкретное	3	4
64	предложение	3	5
65	фронте	2	2
66	перемен	1	3
67	предисловие	3	5
68	эта	2	2
69	книга	2	2
70	является	3	4
71	обвинением	3	5
72	исповедью	4	4
73	попытка	2	3
74	рассказать	1	3
75	поколении	3	5
76	которое	3	4
77	погубила	2	4
78	война	1	2
79	жертвой	2	2
80	спасся	2	2
81	снарядов	2	3
82	глава	1	2
83	первая	3	3
84	стоим	1	2
85	девяти	1	3
86	километрах	2	4
87	передовой	1	4
88	сменили	2	3
89	желудки	2	3
90	набиты	2	3
91	фасолью	2	3
92	мясом	2	2
93	ходим	2	2
94	сытые	3	3
95	довольные	3	4
96	ужин	1	2
97	каждому	3	3
98	досталось	2	3
99	полному	3	3
100	котелку	1	3
101	того	1	2
102	двойную	2	3
103	порцию	3	3
104	хлеба	2	2
105	колбасы	2	3
106	словом	2	2
107	неплохо	2	3
108	такого	2	3
109	нами	2	2
110	уже	2	2
111	случалось	2	3
112	кухонный	3	3
113	своей	1	2
114	багровой	2	3
115	помидор	1	3
116	лысиной	3	3
117	поесть	1	2
118	машет	2	2
119	черпаком	1	3
120	отваливает	4	5
121	здоровенные	3	5
122	порции	3	3
123	опорожнит	1	4
124	его	1	2
125	отчаяние	4	5
126	раздобыли	2	4
127	несколько	3	3
128	тазов	2	2
129	наполнили	3	4
130	запас	1	2
131	сделал	2	2
132	обжорства	2	3
133	осторожности	3	5
134	девается	3	4
135	загадка	2	3
136	равно	1	2
137	тощим	2	2
138	главное	3	3
139	курево	3	3
140	выдано	3	3
141	двойными	2	3
142	порциями	4	4
143	каждого	3	3
144	десять	2	2
145	сигар	1	2
146	двадцать	2	2
147	сигарет	1	3
148	плитки	2	2
149	жевательного	4	5
150	табаку	1	3
151	общем	2	2
152	довольно	2	3
153	прилично	2	3
154	табак	1	2
155	выменял	3	3
156	сигареты	2	4
157	меня	1	2
158	сорок	1	2
159	один	1	2
160	протянуть	1	3
161	собственно	3	3
162	положено	3	4
163	такую	2	3
164	щедрость	2	2
165	начальство	2	3
166	способно	2	3
167	просто	2	2
168	повезло	1	3
169	недели	2	3
170	отправили	3	4
171	передовую	2	5
172	сменять	1	2
173	другую	2	3
174	нашем	2	2
175	участке	2	3
176	спокойно	2	3
177	нашего	3	3
178	возвращения	3	5
179	каптенармус	2	4
180	довольствие	3	4
181	обычной	2	3
182	раскладке	2	3
183	распорядился	2	5
